date,mempool_size_bytes,mempool_tx_count,miners_revenue_usd,cost_per_tx_usd,total_fees_usd,n_transactions,sopr,nupl,sth_sopr,realized_price,sopr_ma7,sopr_ma30,sopr_below_1,nupl_ma30,nupl_capitulation,nupl_euphoria,sth_sopr_ma7,sth_capitulation,mempool_ma7,mempool_congestion,miners_revenue_ma30,miners_revenue_ratio
2023-04-17,,,,,,,1.0001024672436445,0.3237199999999999,1.0297517387,19908.10776,1.0088869402446394,1.0034094775480882,0,0.3017346666666666,0,0,1.0446870039,0,12514.833333333334,,26676763.68639591,
2023-04-18,33245770.5,5581.0,31642501.63757007,101.24887731926094,20.36349198,312522.0,1.0131091031197152,0.3159599999999999,1.0329601934,19914.48558,1.007265468137712,1.0035089493168707,0,0.3024533333333333,0,0,1.0398132705285714,0,9751.5,0.5723222068399734,27297480.93029268,1.1591729551299226
2023-04-19,,,,,,,1.0094944544284898,0.3082,1.0306862978,19920.8634,1.008081192249925,1.0034568749973871,0,0.30323,0,0,1.0371763946857144,0,9751.5,,27297480.93029268,
2023-04-20,9846608.5,17431.5,,,,,0.9991675182235168,0.28915,1.0260969123,19920.01525,1.0059524344540445,1.0030356866065695,1,0.3031116666666667,0,0,1.0335704215,0,8955.166666666666,1.9465299361634807,27411826.08250724,
2023-04-21,,,,,,,1.0018712457117347,0.2701,1.0387215417,19919.1671,1.0043768502278994,1.002811179433004,0,0.3030816666666666,0,0,1.0310608477714287,0,8955.166666666666,,27411826.08250724,
2023-04-22,,,25972883.28916762,73.21419833903013,16.3903462,354752.0,0.9997659842125416,0.2841,1.0080203809,19922.1565,1.0039585575780552,1.002183178961387,1,0.3026616666666666,0,0,1.0278602670571428,0,8955.166666666666,,27231958.233339787,0.9537648033467276
2023-04-23,578916.5,1394.5,,,,,1.0047631569271125,0.2782,1.0165072469,19925.7789,1.0040391328381078,1.0021440117817362,0,0.3028416666666667,0,0,1.0261063302428572,0,8135.666666666667,0.1714057442536977,27231958.233339787,
2023-04-24,,,,,,,0.9978693973674744,0.287,0.9902878902,19928.43265,1.0037201228557977,1.0020165913030266,1,0.3034227777777777,0,0,1.0204686376,1,8135.666666666667,,27442907.155454688,
2023-04-25,17299883.5,40879.0,,,,,0.9998657979443648,0.2958,0.9925082757,19931.0864,1.001828222116462,1.0017532054012974,1,0.304405,0,0,1.0146897922142857,1,19901.666666666668,2.054049074616866,27442907.155454688,
2023-04-26,,,24384973.37872218,55.86976471831888,33.09136423999998,436461.0,1.0114520194701937,0.2975,1.0045236902,19939.0721,1.002107874265277,1.001577665073588,0,0.3055516666666667,0,0,1.0109522768428572,0,19901.666666666668,,27060665.433363125,0.9011224590455902
2023-04-27,38002866.0,74579.5,,,,,1.005407909607514,0.323,1.0141548428,19949.2614,1.0029993587487052,1.0016388892344488,0,0.3074383333333333,0,0,1.0092462669142857,0,38951.0,1.914700521167621,27060665.433363125,
2023-04-28,,,,,,,1.0109441680671034,0.3198,1.0229325892,19963.6522,1.0042954905137578,1.0016626584181372,0,0.3082883333333333,0,0,1.0069907022714286,0,38951.0,,27127732.84766257,
2023-04-29,,,,,,,1.00297971220003,0.3167,1.0206203778,19966.4026,1.0047545945119702,1.0056516800629602,0,0.3089783333333333,0,0,1.0087907018285716,0,38951.0,,27127732.84766257,
2023-04-30,14228036.0,44820.0,28548026.97705134,50.21499302931024,47.64650049999998,568516.0,1.0018007556879525,0.3199,1.0122080877,19968.7444,1.0043313943349474,1.0053149316366696,0,0.309395,0,0,1.0081765362285715,0,53426.16666666666,0.8389147639889318,27305269.61383617,1.045513462448488
2023-05-01,,,,,,,0.9966471731521874,0.2899,1.0164021185,19964.1459,1.0041567908756208,1.004960506990653,1,0.3088383333333333,0,0,1.0119071402714286,0,53426.16666666666,,27305269.61383617,
2023-05-02,27827193.5,67697.0,,,,,1.0045294220056955,0.3039,1.0097196152,19971.2732,1.0048230228843824,1.0050400295617048,0,0.309025,0,0,1.014365903057143,0,62365.5,1.0854879701116804,27293519.405322563,
2023-05-03,,,,,,,1.0223453301881198,0.3112,1.073242956,20006.0035,1.0063792101298004,1.0056509347733986,0,0.3097216666666667,0,0,1.0241829410285714,0,62365.5,,27293519.405322563,
2023-05-04,46993523.0,67120.5,29770202.04218574,60.61659104172629,113.47645017000004,491123.0,1.0023981789643572,0.3169499999999999,0.9955118141,20011.00625,1.005949248609349,1.0055969342224986,0,0.3103966666666666,0,0,1.0215196512142857,1,59879.16666666666,1.1209324333727646,27603104.73493046,1.0785091868492938
2023-05-05,,,,,,,1.005705954458039,0.3227,1.015889467,20016.009,1.005200932379483,1.0055410443102752,0,0.3113188888888888,0,0,1.0205134909,0,59879.16666666666,,27603104.73493046,
2023-05-06,,,,,,,1.0003365904613724,0.3065666666666666,1.0119600766,20050.81,1.0048233435596747,1.005409329933168,0,0.3117588888888889,0,0,1.019276305014286,0,59879.16666666666,,27262311.56339344,
2023-05-07,23836411.0,52156.0,,,,,1.074617096291035,0.2904333333333333,1.0806600268,20085.611,1.0152256779315436,1.008035131819279,0,0.3117166666666666,0,0,1.0290551534571428,0,62324.5,0.8368458631838201,27262311.56339344,
2023-05-08,,,41744197.067098685,72.59216498553812,635.35380034,575051.0,1.0052184884004474,0.2743,1.0257718853,20120.412,1.016450151538438,1.0081289962022275,0,0.3111166666666666,0,0,1.0303936915714285,0,62324.5,,29072547.251356594,1.4358630740603853
2023-05-09,35730645.0,71317.0,,,,,0.9960967467368324,0.2722,0.9933543242,20116.8914,1.015245483642886,1.0079185884652797,1,0.3098744444444444,0,0,1.028055792857143,1,63531.16666666666,1.122551398657352,29072547.251356594,
2023-05-10,,,,,,,0.9996385511586876,0.2724,0.9892875965,20114.4224,1.012001658067253,1.007607777883233,1,0.3080666666666666,0,0,1.0160621700714283,1,63531.16666666666,,30005699.90462232,
2023-05-11,100715175.5,70860.5,,,,,0.9966379367129724,0.2548,1.0023316477,20110.2998,1.011178766317055,1.006680395511392,1,0.3051,0,0,1.0170364320142855,0,64777.833333333336,1.0939004340476552,30005699.90462232,
